iter	Passed	Remaining
0	147	147782
1	149	74729
2	151	50228
3	152	37884
4	153	30581
5	154	25674
6	156	22207
7	157	19569
8	158	17473
9	159	15829
10	161	14528
11	163	13445
12	164	12490
13	165	11690
14	167	11001
15	169	10395
16	170	9856
17	172	9385
18	173	8979
19	175	8609
20	177	8264
21	178	7952
22	180	7669
23	182	7414
24	184	7178
25	186	6970
26	187	6766
27	189	6575
28	190	6391
29	192	6222
30	193	6057
31	195	5904
32	196	5758
33	197	5620
34	199	5493
35	200	5371
36	202	5258
37	203	5157
38	205	5068
39	207	4982
40	209	4892
41	210	4799
42	212	4718
43	213	4634
44	214	4552
45	215	4473
46	217	4402
47	218	4331
48	219	4261
49	220	4190
50	221	4123
51	222	4060
52	223	4000
53	224	3939
54	225	3878
55	226	3820
56	227	3766
57	228	3717
58	229	3667
59	231	3619
60	231	3567
61	232	3518
62	233	3467
63	234	3422
64	235	3380
65	236	3341
66	237	3301
67	238	3263
68	239	3225
69	239	3188
70	240	3152
71	241	3115
72	242	3081
73	243	3047
74	244	3015
75	245	2982
76	246	2951
77	247	2921
78	248	2892
79	248	2862
80	249	2834
81	250	2806
82	251	2780
83	252	2754
84	253	2728
85	254	2704
86	255	2679
87	256	2655
88	256	2629
89	257	2607
90	258	2584
91	259	2562
92	260	2541
93	261	2519
94	262	2498
95	263	2477
96	264	2458
97	265	2439
98	266	2421
99	266	2402
100	268	2385
101	268	2367
102	269	2348
103	270	2331
104	271	2316
105	272	2300
106	273	2284
107	274	2267
108	275	2249
109	276	2233
110	276	2216
111	277	2199
112	278	2184
113	279	2169
114	279	2154
115	280	2140
116	281	2126
117	282	2113
118	283	2100
119	284	2087
120	285	2074
121	286	2060
122	287	2047
123	287	2033
124	288	2020
125	289	2008
126	290	1995
127	291	1983
128	291	1968
129	292	1957
130	293	1946
131	294	1936
132	295	1925
133	296	1914
134	297	1905
135	298	1894
136	299	1884
137	300	1874
138	301	1866
139	302	1855
140	302	1845
141	303	1835
142	304	1826
143	305	1817
144	306	1807
145	307	1797
146	308	1788
147	309	1779
148	309	1768
149	310	1760
150	311	1752
151	312	1744
152	313	1735
153	314	1727
154	315	1719
155	316	1710
156	316	1701
157	317	1692
158	318	1684
159	319	1676
160	320	1668
161	320	1660
162	321	1652
163	322	1645
164	323	1638
165	324	1630
166	325	1624
167	326	1617
168	327	1611
169	328	1604
170	329	1597
171	330	1591
172	331	1584
173	332	1577
174	333	1570
175	334	1564
176	334	1556
177	335	1550
178	336	1543
179	337	1537
180	338	1531
181	339	1525
182	340	1519
183	341	1513
184	342	1508
185	343	1502
186	344	1496
187	345	1490
188	346	1485
189	347	1479
190	348	1474
191	348	1468
192	349	1462
193	350	1457
194	351	1451
195	352	1446
196	353	1441
197	354	1437
198	355	1431
199	356	1427
200	357	1422
201	358	1418
202	359	1412
203	360	1407
204	361	1402
205	362	1397
206	363	1391
207	364	1386
208	364	1380
209	365	1375
210	366	1370
211	367	1364
212	368	1360
213	369	1356
214	370	1351
215	371	1347
216	372	1342
217	373	1338
218	374	1333
219	374	1328
220	375	1324
221	376	1319
222	377	1314
223	378	1310
224	378	1305
225	379	1300
226	380	1296
227	381	1292
228	382	1289
229	383	1284
230	384	1280
231	386	1278
232	387	1276
233	390	1277
234	391	1276
235	393	1274
236	395	1273
237	397	1271
238	398	1269
239	400	1267
240	401	1264
241	402	1260
242	403	1257
243	405	1255
244	406	1251
245	406	1247
246	407	1243
247	408	1239
248	409	1236
249	411	1234
250	413	1232
251	414	1229
252	415	1226
253	416	1222
254	417	1220
255	418	1217
256	420	1215
257	421	1212
258	422	1208
259	423	1205
260	424	1202
261	425	1199
262	427	1197
263	428	1194
264	429	1191
265	430	1189
266	432	1186
267	433	1182
268	434	1179
269	435	1176
270	436	1173
271	437	1170
272	438	1168
273	439	1165
274	441	1162
275	442	1160
276	443	1157
277	445	1155
278	446	1153
279	447	1151
280	448	1148
281	450	1146
282	451	1144
283	452	1141
284	454	1139
285	455	1137
286	456	1134
287	457	1132
288	458	1128
289	459	1125
290	460	1122
291	462	1120
292	463	1118
293	464	1116
294	466	1114
295	467	1112
296	468	1109
297	470	1108
298	471	1104
299	472	1102
300	473	1099
301	474	1097
302	475	1094
303	476	1091
304	478	1089
305	479	1087
306	480	1085
307	482	1083
308	483	1080
309	484	1077
310	485	1075
311	486	1072
312	487	1070
313	488	1068
314	489	1065
315	491	1062
316	492	1060
317	493	1057
318	494	1055
319	495	1052
320	496	1050
321	497	1048
322	498	1045
323	500	1043
324	501	1040
325	502	1038
326	503	1036
327	505	1035
328	506	1032
329	507	1030
330	508	1028
331	510	1026
332	511	1024
333	512	1022
334	513	1020
335	514	1017
336	516	1015
337	517	1012
338	518	1010
339	519	1008
340	520	1006
341	521	1004
342	523	1002
343	524	1000
344	525	998
345	527	996
346	528	994
347	529	991
348	530	990
349	531	987
350	533	986
351	534	983
352	535	982
353	537	980
354	538	978
355	539	975
356	540	974
357	542	972
358	543	970
359	544	968
360	546	966
361	547	964
362	548	961
363	549	960
364	551	959
365	552	957
366	553	955
367	555	953
368	556	951
369	557	949
370	559	947
371	560	946
372	561	944
373	563	942
374	564	940
375	565	939
376	566	936
377	568	935
378	569	933
379	571	931
380	572	929
381	573	927
382	574	925
383	576	924
384	577	922
385	578	920
386	580	919
387	582	918
388	583	916
389	584	913
390	585	911
391	586	909
392	587	907
393	588	905
394	590	904
395	591	902
396	592	900
397	593	898
398	595	896
399	596	895
400	597	893
401	599	891
402	600	889
403	601	887
404	603	886
405	604	884
406	606	883
407	607	881
408	608	879
409	610	878
410	611	876
411	613	875
412	614	872
413	615	871
414	617	869
415	618	868
416	619	866
417	621	865
418	622	863
419	623	861
420	625	860
421	627	858
422	628	856
423	629	854
424	630	853
425	631	851
426	632	849
427	634	847
428	635	845
429	636	844
430	638	842
431	639	840
432	640	839
433	642	837
434	643	835
435	644	833
436	645	832
437	646	829
438	648	828
439	649	826
440	650	824
441	652	823
442	653	821
443	654	819
